country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list
Croatie,en,10,8,7,8,9,50.0,6,2,F,True,False,True,True,309,3201,Other
France,fr,3,8,1,1,1,0.0,0,0,F,False,False,False,True,36,3201,France
Italy,it,22,9,0,0,7,85.7,0,0,F,False,False,False,False,252,3201,Italy
UK,en,22,9,20,13,22,100.0,0,0,F,True,False,True,True,14,3201,UK
UK,en,8,8,0,3,4,50.0,0,0,F,False,False,False,True,23,3201,UK
Sweden,en,18,8,1,4,18,100.0,0,0,F,True,False,True,False,22,3201,Sweden
Spain,es,5,8,1,0,1,0.0,0,0,F,False,False,False,True,687,3201,Spain
Italy,it,31,13,9,1,5,66.0,0,0,F,False,False,False,False,484,3201,Italy
France,fr,4,8,0,0,2,0.0,0,0,F,True,True,False,True,294,3201,France
France,fr,5,8,0,0,6,100.0,0,0,F,True,False,True,False,199,3201,France
UK,en,13,8,3,0,1,0.0,1,0,F,True,False,True,False,360,3201,UK
UK,en,5,0,0,0,1,0.0,0,0,F,False,False,False,True,343,3201,UK
UK,en,8,11,554,9,4,50.0,31,15,F,False,False,False,True,11,3201,UK
France,fr,8,14,10,0,1,0.0,2,6,F,True,True,False,True,42,3201,France
Netherlands,en,4,9,95,0,1,0.0,119,7,F,True,False,True,False,12,3201,Netherlands
France,fr,5,8,0,0,3,100.0,0,0,F,False,False,False,True,647,3201,France
France,fr,13,8,0,0,4,100.0,0,0,M,False,False,False,True,430,3201,France
Belgium,fr,5,13,15,0,1,0.0,6,1,F,True,False,True,True,41,3201,Belgium
Denmark,en,3,10,30,1,2,0.0,14,10,F,False,False,False,True,11,3201,Denmark
France,fr,3,8,0,0,2,50.0,0,0,F,False,False,False,True,267,3201,France
UK,en,6,8,12,0,1,0.0,0,1,F,False,False,False,True,16,3201,UK
Belgium,fr,4,8,0,0,1,0.0,0,0,F,False,False,False,True,533,3201,Belgium
Romania,en,9,8,36,0,3,66.0,3,1,F,True,False,True,True,34,3201,Other
US,en,16,8,1,11,3,66.6,0,0,M,True,False,True,False,442,3201,US
US,en,7,8,0,0,1,0.0,0,0,F,True,False,True,True,575,3201,US
France,fr,4,8,0,0,1,0.0,0,0,F,False,False,False,True,336,3201,France
France,en,9,8,5,21,15,93.0,0,0,F,True,False,True,False,11,3201,France
Italy,it,62,209,1533,12,7,100.0,11,0,F,True,False,True,False,11,3201,Italy
Italy,it,8,10,6,3,10,90.0,7,2,F,True,False,True,True,11,3201,Italy
France,fr,3,8,26,1,1,0.0,1,2,F,False,False,False,True,11,3201,France
Italy,it,14,25,41,0,2,100.0,457,38,F,True,True,True,False,11,3201,Italy
France,fr,4,8,0,1,3,100.0,0,0,M,True,False,True,True,217,3201,France
France,fr,4,8,0,0,3,100.0,0,0,F,True,False,True,True,542,3201,France
Germany,de,7,8,0,0,5,0.0,0,0,F,False,False,False,True,21,3201,Germany
Swiss,fr,15,9,4,0,1,0.0,1,0,M,True,False,True,False,471,3201,Other
UK,en,3,8,8,1,1,0.0,8,0,F,False,False,False,True,11,3201,UK
Netherlands,en,4,8,0,0,1,0.0,0,0,F,False,False,False,True,584,3201,Netherlands
France,fr,10,9,0,0,1,0.0,0,0,F,False,False,False,False,46,3201,France
France,fr,5,8,0,0,1,0.0,0,0,F,False,False,False,True,671,3201,France
Sweden,en,6,9,0,0,1,0.0,0,4,M,False,False,False,True,328,3201,Sweden
Spain,es,11,9,76,3,10,80.0,8,1,F,True,False,True,True,194,3201,Spain
Italy,it,38,9,0,5,28,96.0,0,0,M,True,False,True,False,14,3201,Italy
US,en,5,8,0,0,1,0.0,0,1,M,False,False,False,True,274,3201,US
Lettonie,en,5,0,2,0,1,0.0,0,0,F,True,False,True,False,447,3201,Other
Germany,fr,44,9,71,0,20,85.0,1,4,M,True,False,True,False,348,3201,Germany
France,fr,5,8,2,0,1,0.0,0,0,F,True,False,True,False,635,3200,France
Denmark,en,4,12,55,0,1,0.0,21,0,F,True,False,True,True,83,3200,Denmark
China,en,7,11,399,0,2,100.0,4,74,F,True,False,True,False,38,3200,Other
France,fr,5,9,0,0,1,0.0,0,0,F,True,False,True,True,17,3200,France
UK,en,3,8,6,0,1,0.0,0,3,F,True,False,True,True,618,3200,UK
France,fr,3,8,1,1,1,0.0,0,0,F,True,False,True,True,187,3200,France
Australia,en,4,8,23,0,3,100.0,1,0,F,True,False,True,True,17,3200,Other
France,en,11,8,150,1,2,100.0,5,33,F,True,False,True,False,11,3200,France
UK,en,4,8,0,1,2,0.0,0,0,F,False,False,False,True,160,3200,UK
France,fr,4,8,1,2,1,0.0,0,0,F,False,False,False,True,54,3200,France
Italy,en,20,9,7,0,11,90.0,1,0,M,True,True,False,False,26,3200,Italy
UK,en,11,8,2,0,10,72.7,3,1,F,True,False,True,True,324,3200,UK
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,672,3200,France
UK,en,3,8,11,0,1,0.0,14,0,F,False,False,False,True,106,3200,UK
Sweden,en,6,8,3,0,1,0.0,0,0,M,True,False,True,True,680,3200,Sweden
Germany,en,6,8,2,0,1,0.0,0,0,M,True,False,True,True,90,3200,Germany
France,fr,6,8,0,1,2,100.0,0,0,F,True,False,True,True,66,3200,France
Italy,it,7,8,0,1,2,0.0,0,0,M,True,False,True,False,233,3200,Italy
France,fr,7,9,27,3,2,100.0,0,1,F,True,False,True,False,11,3200,France
Italy,it,3,8,0,2,1,0.0,1,0,F,True,False,True,True,544,3200,Italy
UK,en,4,8,0,1,2,100.0,0,0,M,True,False,True,True,483,3200,UK
France,fr,4,8,2,1,1,0.0,0,0,F,True,True,False,True,695,3200,France
Italy,it,3,8,0,0,1,0.0,0,0,M,True,True,False,True,605,3200,Italy
France,fr,8,8,1,0,1,0.0,1,0,F,False,False,False,True,217,3200,France
France,fr,3,8,0,0,1,0.0,0,0,F,True,False,True,True,632,3200,France
France,fr,12,8,0,1,8,100.0,0,0,F,False,False,False,True,12,3200,France
Spain,es,5,8,0,0,1,0.0,0,0,F,True,True,False,True,658,3200,Spain
UK,en,4,8,0,2,2,50.0,0,0,F,False,False,False,True,21,3200,UK
France,fr,7,8,0,0,7,71.0,0,0,F,True,False,True,True,277,3200,France
Spain,es,4,8,21,0,1,0.0,6,2,F,False,False,False,True,53,3200,Spain
Germany,de,12,12,5,0,1,0.0,2,16,F,False,False,False,False,11,3200,Germany
Italy,it,7,8,0,0,1,0.0,0,0,M,True,True,False,True,351,3200,Italy
France,fr,6,8,0,0,1,0.0,0,0,F,True,False,True,False,346,3200,France
Spain,en,9,8,3,2,9,88.0,0,0,M,True,False,True,False,206,3200,Spain
Finland,en,10,8,42,0,1,0.0,6,2,F,True,False,True,True,101,3200,Other
Italy,it,3,8,1,0,1,0.0,0,0,F,True,False,True,False,305,3200,Italy
Italy,it,3,8,1,0,1,0.0,0,0,M,False,False,False,True,248,3200,Italy
Sweden,en,8,8,0,2,9,88.0,0,0,F,True,False,True,True,12,3200,Sweden
UK,en,4,8,1,2,1,0.0,0,0,F,False,False,False,True,21,3200,UK
Belgium,fr,4,8,1,0,1,0.0,0,0,F,False,False,False,True,704,3200,Belgium
Italy,it,23,9,60,8,7,71.0,3,0,F,True,False,True,False,77,3200,Italy
France,fr,4,8,0,0,1,0.0,0,0,F,True,False,True,True,179,3200,France
France,fr,6,8,1,0,2,50.0,13,2,F,True,False,True,True,31,3200,France
Italy,it,3,8,16,3,1,0.0,2,17,M,True,True,False,False,34,3200,Italy
Italy,it,10,9,0,0,1,0.0,0,0,F,True,True,False,False,561,3200,Italy
Spain,es,17,9,16,8,31,90.0,1,0,M,True,False,True,True,17,3200,Spain
Italy,it,19,9,11,22,11,81.0,8,0,F,True,False,True,False,16,3200,Italy
France,fr,28,8,0,0,28,89.0,0,0,F,True,False,True,True,15,3200,France
France,fr,8,8,0,0,3,66.0,0,2,M,False,False,False,True,565,3200,France
Germany,de,6,8,0,0,1,0.0,0,0,F,False,False,False,True,704,3200,Germany
Lettonie,en,3,12,38,0,1,0.0,17,0,F,True,False,True,True,11,3200,Other
France,fr,6,10,0,4,3,0.0,23,1,F,True,False,True,True,20,3200,France
Netherlands,en,5,8,3,0,2,0.0,0,0,M,True,False,True,False,421,3200,Netherlands
France,fr,6,8,0,0,1,0.0,0,0,F,False,False,False,True,664,3200,France
UK,en,3,8,0,0,2,0.0,0,0,F,False,False,False,True,57,3200,UK
Spain,es,7,8,0,2,7,85.0,0,0,M,True,False,True,True,22,3200,Spain
France,fr,6,9,0,0,2,50.0,0,0,F,True,False,True,False,684,3200,France
Italy,it,7,9,2,0,6,66.0,3,0,M,True,False,True,False,162,3200,Italy
Spain,es,5,8,0,0,1,0.0,0,1,F,False,False,False,True,659,3200,Spain
UK,en,31,8,84,4,30,100.0,19,0,F,True,False,True,True,14,3200,UK
UK,en,8,24,206,0,1,0.0,14,7,M,True,False,True,True,75,3200,UK
France,fr,3,9,0,4,3,100.0,0,0,F,False,False,False,False,20,3200,France
Hong Kong,en,6,8,18,11,1,0.0,5,0,F,True,False,True,True,11,3200,Other
France,fr,4,8,0,1,1,0.0,0,0,F,False,False,False,True,83,3200,France
Romania,en,10,8,6,3,1,0.0,0,0,F,True,False,True,True,271,3200,Other
France,fr,5,8,0,4,3,100.0,0,0,M,True,False,True,True,112,3200,France
France,en,10,8,7,0,4,100.0,0,0,M,True,False,True,True,614,3200,France
France,fr,22,8,0,2,44,89.1,0,0,F,True,True,False,True,11,3200,France
France,fr,5,8,0,2,1,0.0,0,0,F,False,False,False,True,15,3200,France
Italy,it,4,9,7,1,1,0.0,0,0,F,False,False,False,True,16,3200,Italy
France,fr,5,8,8,6,3,100.0,12,4,M,True,False,True,True,11,3200,France
Spain,es,14,9,1,1,1,0.0,0,0,F,True,False,True,True,14,3200,Spain
UK,en,4,8,3,6,4,100.0,18,1,F,True,False,True,True,12,3200,UK
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,100,3200,France
Italy,it,14,8,1,5,11,100.0,0,0,F,True,True,False,True,11,3200,Italy
France,fr,3,9,8,2,2,0.0,1,0,F,False,False,False,False,20,3200,France
France,fr,14,12,386,3,1,0.0,21,1,M,True,False,True,False,11,3200,France
France,fr,6,8,0,0,1,0.0,11,2,M,False,False,False,False,11,3200,France
Croatie,en,8,8,1,3,2,0.0,0,0,F,False,False,False,True,422,3200,Other
France,fr,7,8,14,0,1,0.0,0,0,F,False,False,False,False,165,3200,France
US,en,5,8,0,0,1,0.0,0,0,F,False,False,False,True,611,3200,US
Germany,de,4,8,0,0,1,0.0,0,1,F,False,False,False,False,173,3200,Germany
UK,en,47,8,0,10,78,98.0,0,0,F,True,False,True,True,13,3205,UK
France,fr,5,10,12,6,1,0.0,3,4,M,True,False,True,True,15,3205,France
France,fr,3,8,0,1,1,0.0,0,0,F,True,False,True,True,11,3205,France
France,fr,4,8,0,0,1,0.0,0,0,M,True,False,True,True,574,3205,France
Netherlands,en,48,8,0,19,3,0.0,0,0,F,True,False,True,False,545,3205,Netherlands
France,fr,4,8,0,0,1,0.0,0,0,F,False,False,False,True,408,3205,France
Italy,en,5,8,3,1,6,83.0,0,0,F,False,False,False,False,11,3205,Italy
Italy,it,17,9,49,0,9,77.0,21,12,M,False,False,False,False,12,3205,Italy
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,709,3205,France
France,fr,22,8,0,27,16,100.0,0,0,F,False,False,False,True,653,3205,France
France,fr,16,8,33,10,20,79.0,1,0,M,True,False,True,True,17,3205,France
France,fr,3,8,0,0,3,100.0,0,0,F,True,False,True,True,286,3205,France
Italy,it,6,8,7,4,12,83.0,1,0,M,True,False,True,True,19,3205,Italy
Italy,it,5,8,1,1,3,66.0,0,0,F,True,False,True,True,386,3205,Italy
UK,en,40,10,83,0,7,0.0,0,0,F,True,False,True,False,604,3205,UK
Italy,it,6,10,9,4,3,100.0,1,1,M,True,False,True,True,13,3205,Italy
France,fr,5,8,0,0,1,0.0,0,0,M,True,False,True,True,638,3205,France
Italy,it,5,8,0,0,1,0.0,0,0,F,False,False,False,True,665,3205,Italy
France,fr,8,8,0,7,8,100.0,0,0,F,True,False,True,True,28,3205,France
France,fr,4,8,1,0,1,0.0,0,0,M,True,False,True,False,595,3200,France
France,fr,12,8,1,10,9,100.0,0,0,F,True,False,True,True,19,3200,France
Lettonie,en,40,189,68,15,60,90.0,2,0,F,False,False,False,False,11,3200,Other
UK,en,3,8,0,3,1,0.0,0,0,M,True,False,True,False,114,3200,UK
Italy,it,40,122,28,18,17,66.0,3,2,F,True,False,True,True,13,3200,Italy
UK,en,3,8,2,5,1,0.0,3,0,M,False,False,False,True,13,3200,UK
Pologne,en,8,10,70,2,6,100.0,49,8,F,False,False,False,True,11,3200,Other
France,fr,4,8,3,0,3,100.0,0,0,F,False,False,False,True,14,3200,France
Germany,de,16,2,91,5,5,80.0,10,1,F,True,False,True,True,11,3200,Germany
France,fr,11,23,334,0,1,0.0,84,2,F,True,True,False,True,11,3200,France
France,fr,4,8,0,1,1,0.0,0,0,M,True,False,True,True,618,3200,France
France,fr,25,12,30,1,8,87.0,4,28,F,True,True,True,False,62,3200,France
France,fr,6,12,112,0,1,0.0,65,9,M,True,False,True,True,11,3200,France
US,en,19,15,82,6,3,66.0,1,7,F,True,False,True,False,13,3200,US
UK,en,8,8,0,1,2,0.0,0,0,M,False,False,False,True,175,3200,UK
France,fr,3,8,3,0,1,0.0,0,0,M,False,False,False,True,132,3200,France
US,en,6,8,1,0,5,100.0,0,0,F,False,False,False,True,25,3200,US
UK,en,7,8,0,0,1,0.0,0,0,M,True,False,True,True,700,3199,UK
France,fr,11,9,34,11,13,92.0,9,1,F,True,False,True,True,14,3199,France
Italy,it,8,10,54,0,1,0.0,4,3,F,True,False,True,False,44,3199,Italy
US,en,4,8,0,0,2,100.0,0,0,F,False,False,False,True,91,3199,US
UK,en,15,8,57,55,9,77.0,6,10,F,True,True,False,True,11,3199,UK
Spain,es,3,11,21,0,1,0.0,0,0,F,True,False,True,True,11,3199,Spain
US,en,47,94,494,0,4,60.0,56,6,F,True,True,False,True,35,3199,US
Italy,it,5,8,13,7,7,87.0,0,0,F,True,False,True,False,11,3199,Italy
France,fr,22,8,21,0,10,100.0,0,0,M,True,False,True,False,11,3199,France
UK,en,8,8,1,0,1,0.0,0,0,M,True,False,True,True,187,3199,UK
Slovénie,en,34,147,39,0,6,50.0,49,23,F,True,True,True,False,12,3199,Other
Italy,it,17,8,6,17,19,100.0,1,0,F,True,False,True,False,12,3199,Italy
France,fr,3,8,0,0,1,0.0,0,0,M,True,True,False,True,96,3199,France
UK,en,7,10,19,5,2,100.0,109,3,F,False,False,False,True,11,3199,UK
Italy,it,11,8,5,2,11,100.0,0,0,F,True,False,True,True,15,3199,Italy
Italy,it,5,8,1,0,2,0.0,0,0,M,True,False,True,True,236,3199,Italy
France,fr,5,8,2,0,1,0.0,0,0,F,True,False,True,False,25,3199,France
Australia,en,3,8,0,0,1,0.0,0,0,F,False,False,False,True,203,3199,Other
Germany,de,6,8,1,1,3,100.0,0,0,M,True,False,True,False,18,3199,Germany
Spain,es,6,8,0,0,1,0.0,0,0,F,False,False,False,True,191,3199,Spain
France,fr,5,8,0,0,1,0.0,0,0,F,True,False,True,False,673,3199,France
Spain,es,6,8,0,0,1,0.0,0,0,M,True,False,True,False,670,3199,Spain
France,fr,4,8,0,0,1,0.0,0,1,F,False,False,False,True,254,3199,France
France,fr,6,8,0,3,1,0.0,0,0,M,True,False,True,True,284,3199,France
Germany,en,3,9,64,8,2,100.0,408,17,F,False,False,False,False,11,3199,Germany
Italy,it,19,8,3,2,12,91.0,0,0,M,True,False,True,True,11,3199,Italy
UK,en,52,8,760,18,24,37.0,182,13,F,True,False,True,False,12,3199,UK
Spain,es,8,8,0,1,4,50.0,0,0,M,True,False,True,True,626,3199,Spain
UK,en,9,22,23,0,1,0.0,6,5,F,True,False,True,False,98,3199,UK
France,fr,4,8,0,2,1,0.0,0,0,F,False,False,False,True,195,3199,France
France,fr,12,8,0,4,19,94.0,0,0,M,True,False,True,True,164,3199,France
Germany,de,3,8,0,0,1,0.0,0,0,M,True,False,True,True,657,3199,Germany
Germany,de,3,8,9,9,5,60.0,131,3,F,False,False,False,True,23,3199,Germany
France,fr,8,8,3,2,2,100.0,8,1,M,True,True,False,False,242,3199,France
Sweden,en,6,8,0,0,1,0.0,0,0,F,False,False,False,True,672,3199,Sweden
France,fr,4,8,9,1,4,25.0,1,0,F,True,False,True,True,157,3199,France
Italy,it,10,8,5,48,26,95.0,3,1,F,True,False,True,True,11,3199,Italy
France,fr,22,9,2,21,23,95.0,112,5,M,False,False,False,True,11,3199,France
UK,en,6,8,0,0,2,0.0,0,0,M,True,True,False,True,377,3199,UK
France,fr,6,8,2,0,1,0.0,0,0,F,False,False,False,True,546,3199,France
Italy,it,4,9,4,8,2,0.0,0,0,F,False,False,False,True,11,3199,Italy
Denmark,en,3,8,1,0,1,0.0,0,0,F,False,False,False,True,12,3199,Denmark
Italy,it,7,8,16,5,4,75.0,1,0,F,True,True,False,False,39,3199,Italy
Italy,it,14,12,10,2,2,0.0,1,0,F,True,False,True,True,284,3199,Italy
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,328,3199,France
France,fr,9,10,2,1,6,66.0,1,0,F,True,False,True,True,13,3199,France
France,fr,4,8,1,0,6,50.0,0,0,F,False,False,False,True,297,3199,France
France,fr,4,8,2,0,1,0.0,2,0,F,True,True,False,True,473,3199,France
Italy,it,7,8,0,0,7,85.0,0,0,M,True,False,True,False,319,3199,Italy
Netherlands,en,6,8,0,23,2,0.0,0,0,M,False,False,False,True,11,3199,Netherlands
France,fr,4,8,0,0,1,0.0,0,0,M,True,False,True,True,617,3199,France
France,fr,6,8,1,0,1,0.0,0,0,F,True,True,False,False,372,3199,France
Australia,en,11,8,98,0,1,0.0,68,17,M,True,False,True,True,14,3199,Other
France,fr,11,18,7,0,1,0.0,1,5,F,False,False,False,True,15,3199,France
France,fr,9,26,86,1,4,75.0,2,1,M,True,False,True,False,254,3199,France
France,fr,4,8,0,0,1,0.0,0,0,F,True,True,False,True,132,3199,France
Ireland,en,4,8,4,0,1,0.0,1,0,F,True,True,False,True,146,3199,Other
Ireland,en,6,8,0,0,3,66.0,0,0,F,False,False,False,True,334,3199,Other
France,fr,3,8,0,0,1,0.0,0,0,F,True,False,True,False,378,3199,France
France,fr,3,8,0,0,2,100.0,0,0,F,False,False,False,True,16,3199,France
France,fr,3,8,0,4,1,0.0,0,0,M,False,False,False,True,68,3199,France
Luxembourg,en,6,9,121,1,1,0.0,2,2,F,True,False,True,True,33,3199,Other
France,fr,6,8,1,0,2,0.0,0,0,F,False,False,False,True,379,3199,France
Italy,it,8,8,1,2,2,100.0,0,0,F,True,False,True,True,297,3199,Italy
Spain,es,4,8,0,0,3,0.0,0,0,F,True,False,True,False,330,3199,Spain
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,376,3199,France
France,fr,5,8,31,0,1,0.0,1,1,F,True,False,True,True,22,3199,France
Netherlands,en,6,8,0,0,1,0.0,0,0,F,True,False,True,False,626,3199,Netherlands
Italy,it,5,8,3,6,2,0.0,1,0,F,False,False,False,False,11,3199,Italy
France,fr,9,8,1,1,2,66.0,0,0,F,True,True,True,False,31,3199,France
UK,en,4,8,0,0,1,0.0,3,2,M,False,False,False,True,646,3199,UK
France,fr,4,8,0,0,1,0.0,0,0,F,True,False,True,True,44,3199,France
Italy,it,8,8,0,0,1,0.0,0,0,F,True,False,True,True,45,3199,Italy
Italy,it,13,8,0,0,4,50.0,0,0,F,True,False,True,True,624,3199,Italy
Portugal,en,11,8,19,2,2,0.0,26,0,F,True,False,True,True,66,3199,Other
Netherlands,en,4,8,2,1,2,0.0,0,0,F,False,False,False,True,411,3199,Netherlands
Italy,it,22,11,22,6,11,81.0,2,0,F,True,False,True,False,20,3199,Italy
France,fr,4,8,0,0,1,0.0,0,0,M,True,False,True,True,700,3199,France
UK,en,5,8,0,0,1,0.0,0,0,F,False,False,False,True,672,3199,UK
Italy,it,4,8,0,0,1,0.0,0,0,F,False,False,False,True,16,3199,Italy
UK,en,5,8,11,4,4,100.0,0,0,F,False,False,False,True,34,3199,UK
France,fr,7,8,262,0,1,0.0,312,9,F,True,False,True,True,40,3199,France
France,fr,5,5,34,0,3,66.0,5,5,M,True,True,False,False,16,3199,France
Spain,es,11,9,0,1,9,88.0,0,0,F,False,False,False,True,147,3199,Spain
France,fr,4,9,0,0,2,0.0,0,0,M,True,False,True,True,683,3199,France
France,fr,6,8,0,0,1,0.0,0,0,M,False,False,False,True,184,3199,France
France,fr,22,9,8,1,20,80.0,10,0,F,True,False,True,True,11,3199,France
France,fr,4,8,1,0,1,0.0,0,0,F,False,False,False,False,275,3199,France
France,fr,9,8,0,7,6,33.0,1,0,F,True,False,True,True,12,3199,France
France,fr,4,8,0,0,2,0.0,0,0,F,True,False,True,True,139,3199,France
France,en,6,8,0,0,1,0.0,0,0,M,False,False,False,False,395,3199,France
France,fr,7,8,688,0,1,0.0,2,2,F,False,False,False,True,11,3199,France
US,en,26,8,0,0,2,0.0,0,0,F,True,False,True,True,626,3199,US
UK,en,5,8,0,0,2,0.0,0,0,M,True,False,True,True,220,3199,UK
France,fr,4,9,0,1,1,0.0,1,0,F,True,False,True,False,446,3199,France
UK,en,3,8,1,0,1,0.0,0,0,F,False,False,False,True,639,3199,UK
France,fr,4,8,1,0,2,100.0,0,0,F,False,False,False,True,656,3199,France
US,en,4,3,1,0,2,100.0,0,0,F,False,False,False,True,233,3199,US
France,fr,3,8,0,0,2,100.0,0,0,M,True,False,True,True,15,3199,France
France,en,9,8,0,5,10,100.0,0,0,F,True,False,True,False,26,3199,France
France,fr,4,8,0,1,1,0.0,0,0,F,False,False,False,True,651,3199,France
Spain,es,3,8,5,0,1,0.0,0,0,F,False,False,False,False,11,3199,Spain
France,fr,3,8,3,0,1,0.0,0,0,F,False,False,False,True,36,3199,France
US,en,4,8,27,0,1,0.0,18,10,M,True,False,True,True,372,3199,US
Germany,de,5,10,16,0,1,0.0,1,2,M,True,True,False,True,154,3199,Germany
France,en,4,8,0,1,3,66.0,1,1,M,True,False,True,True,37,3199,France
France,fr,4,8,0,1,1,0.0,0,0,F,True,False,True,True,131,3199,France
Swiss,en,8,8,3,2,5,83.0,2,1,F,True,False,True,False,16,3199,Other
Austria,de,6,8,1,0,2,100.0,2,2,M,False,False,False,True,60,3199,Other
Bulgaria,en,67,30,345,4,42,79.0,157,12,F,True,False,True,False,11,3199,Other
Italy,it,44,90,105,4,19,94.0,7,1,F,True,False,True,False,11,3199,Italy
France,fr,6,8,0,0,3,66.0,0,0,F,False,False,False,True,26,3199,France
France,fr,5,8,12,0,9,60.0,1,0,F,True,False,True,True,68,3199,France
France,fr,19,9,21,3,6,83.3,1,7,F,True,False,True,False,27,3199,France
France,fr,16,9,0,4,12,91.0,12,279,M,False,False,False,True,11,3199,France
Denmark,en,9,8,3,1,1,0.0,4,0,M,False,False,False,True,54,3199,Denmark
France,fr,3,8,2,1,1,0.0,0,3,M,True,False,True,True,13,3199,France
Germany,de,4,8,9,2,2,0.0,1,2,F,False,False,False,False,105,3199,Germany
Denmark,en,3,8,1,0,2,0.0,2,1,F,False,False,False,True,25,3199,Denmark
Spain,es,6,9,221,2,2,0.0,1,6,F,True,False,True,True,11,3199,Spain
Spain,es,13,10,3,2,1,0.0,0,0,F,True,False,True,True,11,3199,Spain
Italy,it,9,8,2,4,2,50.0,18,1,F,True,False,True,True,16,3199,Italy
France,fr,7,8,0,0,2,100.0,0,0,M,True,False,True,True,25,3199,France
Italy,it,3,8,0,0,1,0.0,0,0,F,False,False,False,True,665,3199,Italy
UK,en,7,8,14,4,3,100.0,1,0,F,False,False,False,False,17,3199,UK
UK,en,6,8,9,0,2,0.0,9,0,M,True,False,True,True,306,3199,UK
Luxembourg,en,52,3,137,0,30,90.0,117,80,F,True,False,True,False,11,3199,Other
France,fr,5,8,0,0,1,0.0,0,0,M,False,False,False,True,649,3199,France
France,fr,11,9,3,0,1,0.0,0,0,F,True,False,True,False,568,3198,France
Italy,it,4,8,1,3,1,0.0,0,0,F,True,False,True,True,44,3198,Italy
US,en,4,8,0,0,1,0.0,0,0,M,True,False,True,True,251,3198,US
France,fr,3,9,5,0,1,0.0,0,0,F,True,False,True,True,319,3198,France
UK,en,3,8,2,0,2,100.0,11,1,F,False,False,False,True,29,3198,UK
UK,en,5,8,11,0,2,100.0,4,15,M,True,False,True,False,88,3198,UK
Singapour,en,4,9,43,1,2,100.0,0,2,F,False,False,False,True,13,3198,Other
France,fr,3,8,0,1,1,0.0,0,0,M,False,False,False,True,588,3198,France
UK,en,5,9,1,0,1,0.0,2,0,M,False,False,False,True,440,3198,UK
US,en,10,8,6,0,1,0.0,5,1,F,False,False,False,True,259,3198,US
US,en,3,8,0,0,1,0.0,0,0,F,False,False,False,True,173,3198,US
Italy,it,10,11,85,1,8,25.0,104,1,F,True,True,False,True,23,3198,Italy
US,en,15,10,1,0,1,0.0,0,0,M,True,False,True,True,634,3198,US
US,en,8,10,42,0,1,0.0,17,2,M,True,False,True,False,54,3198,US
US,en,7,15,0,0,1,0.0,14,0,F,False,False,False,False,30,3198,US
Australia,en,28,11,2942,6,1,0.0,135,67,F,True,False,True,True,11,3198,Other
Spain,es,11,8,0,2,3,33.0,0,0,F,True,False,True,False,17,3198,Spain
Italy,it,15,8,3,2,10,90.0,0,0,F,True,False,True,True,11,3198,Italy
France,fr,3,8,121,0,1,0.0,0,0,F,True,False,True,True,58,3198,France
UK,en,7,1,5,1,7,100.0,13,1,F,True,False,True,False,24,3198,UK
France,fr,4,9,0,0,1,0.0,0,13,F,False,False,False,True,210,3198,France
France,en,4,8,0,1,3,100.0,0,0,M,True,False,True,True,46,3198,France
Swiss,fr,6,8,0,0,4,100.0,0,0,F,False,False,False,True,354,3198,Other
UK,en,16,8,30,5,24,84.0,71,1,F,False,False,False,True,11,3198,UK
France,fr,3,8,0,1,1,0.0,3,0,F,False,False,False,True,43,3198,France
Luxembourg,en,10,8,0,2,4,100.0,0,0,F,False,False,False,False,13,3198,Other
France,fr,3,8,1,0,1,0.0,0,0,M,True,True,False,True,569,3198,France
US,en,12,12,196,0,3,100.0,69,58,F,True,False,True,True,12,3205,US
UK,en,6,8,0,1,1,0.0,0,0,M,True,False,True,True,209,3205,UK
France,fr,3,8,1,0,1,0.0,0,0,F,False,False,False,True,686,3205,France
Germany,de,25,8,0,1,1,0.0,0,0,F,True,False,True,False,170,3205,Germany
UK,en,8,11,2,0,1,0.0,0,0,M,True,False,True,True,693,3205,UK
France,fr,3,9,0,0,1,0.0,2,0,F,True,False,True,True,48,3205,France
France,fr,26,8,1,2,2,100.0,0,0,M,False,False,False,False,28,3205,France
Austria,en,5,8,0,2,4,75.0,0,0,F,True,False,True,True,45,3205,Other
Portugal,fr,11,8,28,5,5,100.0,67,2,F,False,False,False,True,30,3205,Other
UK,en,15,8,3,1,5,80.0,0,0,F,True,False,True,True,11,3205,UK
Spain,es,4,8,0,7,2,100.0,0,0,F,False,False,False,True,11,3205,Spain
Netherlands,en,7,8,164,0,1,0.0,30,10,F,True,False,True,True,18,3205,Netherlands
Romania,en,8,8,162,0,1,0.0,4,4,F,True,False,True,True,11,3205,Other
Italy,it,10,8,6,0,5,100.0,0,0,M,True,False,True,True,17,3205,Italy
Germany,de,5,8,1,0,2,0.0,0,0,M,False,False,False,True,257,3205,Germany
UK,en,9,8,0,2,10,83.0,0,0,F,True,False,True,True,32,3205,UK
